Annotation	P.Value.Adjusted	Annotation.Name
IPR038005	2.851E-13	"Virus X resistance protein-like, coiled-coil domain"
IPR041118	3.412E-04	"Rx, N-terminal"
IPR002182	9.735E-10	NB-ARC
IPR006936	1.949E-03	ALOG domain
IPR040222	5.408E-03	ALOG  family
IPR004000	7.157E-09	Actin family
IPR004001	9.950E-06	"Actin, conserved site"
IPR020902	2.980E-11	Actin/actin-like conserved site
IPR002156	2.864E-11	Ribonuclease H domain
IPR006243	3.068E-05	Photosystem I PsaA
IPR034741	8.806E-03	"Terpene cyclase-like 1, C-terminal domain"
IPR007641	4.127E-04	"RNA polymerase Rpb2, domain 7"
IPR015712	3.292E-14	"DNA-directed RNA polymerase, subunit 2"
IPR037033	2.247E-07	"DNA-directed RNA polymerase, subunit 2, hybrid-binding domain superfamily"
IPR007120	1.675E-07	"DNA-directed RNA polymerase, subunit 2, hybrid-binding domain"
IPR008896	1.713E-21	Protein TIC214
IPR006534	7.056E-03	"P-type ATPase, subfamily IIIA"
IPR006527	1.075E-05	"F-box associated domain, type 1"
IPR023393	3.878E-04	START-like domain superfamily
IPR000916	4.277E-08	Bet v I/Major latex protein
IPR003008	1.001E-04	"Tubulin/FtsZ, GTPase domain"
IPR000217	2.181E-06	Tubulin
IPR036525	1.155E-03	"Tubulin/FtsZ, GTPase domain superfamily"
IPR011043	9.958E-03	"Galactose oxidase/kelch, beta-propeller"
IPR020586	8.806E-03	"Photosystem I PsaA/PsaB, conserved site"
IPR037034	3.842E-03	"RNA polymerase Rpb2, domain 2 superfamily"
IPR007642	4.127E-04	"RNA polymerase Rpb2, domain 2"
IPR007645	1.106E-03	"RNA polymerase Rpb2, domain 3"
IPR000477	7.648E-04	Reverse transcriptase domain
IPR040256	1.823E-11	Uncharacterized protein At4g02000-like
IPR014724	5.216E-04	"RNA polymerase Rpb2, OB-fold"
IPR000569	8.185E-07	HECT domain
IPR035983	8.185E-07	"HECT, E3 ligase catalytic domain"
IPR013838	3.534E-04	"Beta tubulin, autoregulation binding site"
IPR006564	4.402E-04	"Zinc finger, PMZ-type"
IPR018289	6.379E-10	MULE transposase domain
IPR027806	2.604E-03	Harbinger transposase-derived nuclease domain
IPR004252	2.626E-20	"Probable transposase, Ptta/En/Spm, plant"
IPR021929	5.064E-05	Late blight resistance protein R1
IPR003918	7.056E-03	NADH:ubiquinone oxidoreductase
IPR029014	1.571E-04	"[NiFe]-hydrogenase, large subunit"
IPR038290	1.571E-04	"NADH-quinone oxidoreductase, subunit D superfamily"
IPR001135	8.572E-05	"NADH-quinone oxidoreductase, subunit D"
IPR022997	8.806E-03	NADH-quinone oxidoreductase chain 4
IPR008906	3.961E-05	"HAT, C-terminal dimerisation domain"
IPR013955	2.965E-09	"Replication factor A, C-terminal"
IPR003569	1.551E-03	"Probable cytochrome c biosynthesis protein, plants"
IPR004332	6.329E-13	"Transposase, MuDR, plant"
IPR029480	3.534E-04	Transposase-associated domain
IPR040339	3.534E-04	Uncharacterized membrane protein At1g16860-like
IPR026960	1.954E-18	Reverse transcriptase zinc-binding domain
IPR034583	2.271E-03	Protein EMBRYONIC FLOWER 1
IPR033251	3.534E-04	"Protein NUCLEAR FUSION DEFECTIVE 6, chloroplastic/mitochondrial"
IPR009632	8.552E-03	NA
IPR003871	9.633E-15	Domain of unknown function DUF223
IPR013921	8.552E-03	"Mediator complex, subunit Med20"
IPR031147	7.056E-03	Double-stranded RNA-binding protein
IPR007216	8.806E-03	CCR4-NOT transcription complex subunit 9
